AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
06535,Vogelsbergkreis,101494.0,13244.0,61666.0,26584.0,50.4,1411.0,4.4,39583.0,13.90229964332867
06611,Kassel,197065.0,27055.0,130144.0,39866.0,41.4,2291.0,8.5,47908.0,11.625605764595438
06631,Fulda,222688.0,31629.0,141438.0,49621.0,45.5,2732.0,3.7,44817.0,12.268285673228911
06632,Hersfeld-Rotenburg,118010.0,16129.0,72021.0,29860.0,49.0,1754.0,4.1,45755.0,14.863147190916024
06633,Kassel,230742.0,31255.0,139990.0,59497.0,49.8,3251.0,4.3,48630.0,14.089329207513154
06634,Schwalm-Eder-Kreis,180368.0,24299.0,112219.0,43850.0,48.5,2494.0,4.4,44979.0,13.827286436618468
06635,Waldeck-Frankenberg,155135.0,21025.0,96586.0,37524.0,48.5,2163.0,4.5,43761.0,13.942695072034034
06636,Werra-MeiÃner-Kreis,98055.0,12457.0,59616.0,25982.0,50.7,1550.0,5.4,39100.0,15.807454999745042
07111,Koblenz,113346.0,14358.0,74102.0,24886.0,42.4,1442.0,6.5,46803.0,12.722107529158505
07131,Ahrweiler,128546.0,17109.0,78462.0,32975.0,49.5,1613.0,3.9,38380.0,12.548037278483967
07132,Altenkirchen (Westerwald),132149.0,19215.0,82435.0,30499.0,47.0,1718.0,5.6,38811.0,13.00047673459504
07133,Bad Kreuznach,164564.0,22997.0,101577.0,39990.0,48.1,2153.0,6.4,39551.0,13.083055832381323
07134,Birkenfeld,82622.0,11033.0,50711.0,20878.0,48.7,1246.0,6.7,37791.0,15.080729103628574
07135,Cochem-Zell,61538.0,7908.0,37897.0,15733.0,50.4,877.0,3.7,36504.0,14.251356885176639
07137,Mayen-Koblenz,216874.0,30542.0,136136.0,50196.0,46.9,2746.0,3.9,39698.0,12.661729852356668
07138,Neuwied,188656.0,27578.0,117154.0,43924.0,46.9,2448.0,5.3,40908.0,12.975998643032822
07140,Rhein-HunsrÃ¼ck-Kreis,106390.0,14883.0,66142.0,25365.0,48.1,1363.0,4.0,39890.0,12.81135445060626
07141,Rhein-Lahn-Kreis,125283.0,17322.0,77543.0,30418.0,48.3,1653.0,4.2,39534.0,13.19412849309164
07143,Westerwaldkreis,207648.0,29739.0,131629.0,46280.0,46.9,2538.0,3.7,39519.0,12.222607489597781
