station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES1691A,development_cv,ES,,39.93056,-0.60333,fold1_iberia,4.6809595597364,332,332,4.680959675116372,7.437392283182714,-3,True,False,1.1537997224309038e-07,computed
ES1697A,development_cv,ES,,43.30944,-2.01111,fold1_iberia,6.434141061091997,366,366,6.434140907599568,12.214974932606792,-37,True,False,1.5349242854512113e-07,computed
ES1712A,development_cv,ES,,43.2984,-2.9871,fold1_iberia,8.21899376684197,366,337,8.218993801409772,19.744484862963127,-37,True,False,3.456780106603219e-08,computed
ES1713A,development_cv,ES,,43.255,-2.90222,fold1_iberia,7.980431368955702,366,366,7.980431269690658,13.829850660347809,-37,True,False,9.926504418444893e-08,computed
ES1718A,development_cv,ES,,38.1744,-3.01022,fold1_iberia,12.964912317114736,57,365,12.964912280701755,28.09949628785945,272,False,True,3.641298107481816e-08,computed
ES1746A,development_cv,ES,,42.34167,-2.23167,fold1_iberia,5.832287918467989,360,364,5.832287793622176,9.669629977833152,-31,True,False,1.2484581279892382e-07,computed
ES1752A,development_cv,ES,,40.455,-3.48417,fold1_iberia,10.157492103676864,334,334,10.157492106728709,19.727511089486207,-5,True,False,3.0518449989358487e-09,computed
ES1753A,development_cv,ES,,42.34,-2.05972,fold1_iberia,6.929201117282425,366,366,6.929201177508376,14.599065282782973,-37,True,False,6.022595133714503e-08,computed
ES1779A,development_cv,ES,,42.43889,-2.25028,fold1_iberia,5.700964511199629,366,366,5.70096455081309,11.352948923421971,-37,True,False,3.961346095593399e-08,computed
ES1798A,development_cv,ES,,43.35417,-8.42472,fold1_iberia,10.084868765987869,366,366,10.084868777806234,17.09829497885895,-37,True,False,1.1818364953342098e-08,computed
ES1799A,development_cv,ES,,37.89261,-4.76234,fold1_iberia,10.589062496780034,64,366,10.5890625,23.50948550856585,265,False,True,3.219966515644046e-09,computed
ES1802A,development_cv,ES,,40.91028,-3.46667,fold1_iberia,5.829406278440019,356,366,5.829406220724134,10.344842142437368,-27,True,False,5.7715885404263645e-08,computed
ES1803A,development_cv,ES,,40.63389,-4.01333,fold1_iberia,12.293874493265225,365,0,12.293874454111611,,-36,True,False,3.9153613684561606e-08,computed
ES1809A,development_cv,ES,,40.18528,-3.67972,fold1_iberia,11.418997889700853,366,0,11.418997856239482,,-37,True,False,3.346137056325915e-08,computed
ES1810A,development_cv,ES,,40.25194,-4.27472,fold1_iberia,6.9588815882624315,366,350,6.958881559888331,12.296818883270664,-37,True,False,2.837410040257282e-08,computed
ES1811A,development_cv,ES,,40.16722,-3.27667,fold1_iberia,9.28655897100438,366,0,9.28655892089887,,-37,True,False,5.010551085149473e-08,computed
ES1818A,development_cv,ES,,39.86806,-4.02083,fold1_iberia,9.853750600377694,366,366,9.853750601791923,22.43075004299448,-37,True,False,1.4142287341201154e-09,computed
ES1828A,development_cv,ES,,40.01061,3.85758,fold1_iberia,9.398244967810491,363,363,9.398244995580557,19.92192903418129,-34,True,False,2.77700653583679e-08,computed
ES1836A,development_cv,ES,,41.64222,-0.86194,fold1_iberia,8.535911708640606,366,366,8.535911657999884,17.16750933358274,-37,True,False,5.0640721838135505e-08,computed
ES1838A,development_cv,ES,,40.59333,-3.50306,fold1_iberia,8.390527796972624,366,0,8.390527783177463,,-37,True,False,1.3795160569429754e-08,computed
ES1851A,development_cv,ES,,42.09778,1.84833,fold1_iberia,7.662378190350341,349,366,7.662378223495702,16.150831612800463,-20,True,False,3.3145361122421946e-08,computed
